V1,V2
panPan2,Bonobo
panTro5,Chimpanzee
hg38,Human
gorGor5,Gorilla
ponAbe2,Orangutan
nomLeu3,Gibbon
rheMac8,Rhesus macaque
macFas5,Crab-eating macaque
macNem1,Pig-tailed macaque
cerAty1,Sooty mangabey
papAnu3,Baboon
chlSab2,Green monkey
manLeu1,Drill
nasLar1,Proboscis monkey
colAng1,Angolan colobus
rhiRox1,Golden snub-nosed monkey
rhiBie1,Black snub-nosed monkey
calJac3,Marmoset
saiBol1,Squirrel monkey
cebCap1,White-faced sapajou
aotNan1,Ma's night monkey
tarSyr2,Tarsier
micMur3,Mouse lemur 
proCoq1,Coquerel's sifaka
eulMac1,Black lemur
otoGar3,Bushbaby
mm10,Mouse
canFam3,Dog
dasNov3,Armadillo
eulFla1,Sclater's lemur
