"Gene Symbol","Gene Accession Id","Allele Symbol","Allele Accession Id","Background Strain Name","Background Strain Accession Id","Chromosome","Phenotyping Center","Colony Id","Breeding Strategy","Total # Pups","Total # Male Pups","Total # Female Pups","Total # Hom Males","Total # Hom Females","Total # Hem Males","Total # WT Males","Total # WT Females","Total # Het Males","Total # Het Females","Percentage HOMs / HEMs","Supporting Data","Viability Phenotype HOMs/HEMIs","Viability Call Method","Comment","Procedure Link"
"0610010K14Rik","MGI:1915609","0610010K14Rik<tm1.1(KOMP)Vlcg>","MGI:5603349","C57BL/6NCrl","MGI:2683688","11","UC Davis","ET9546","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","62","30","32","0","0","0","8","14","22","18","0.0","Homozygous - Lethal","lethal","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"0610040J01Rik","MGI:1923511","0610040J01Rik<em1(IMPC)Ccpcz>","MGI:7425474","C57BL/6NCrl","MGI:2683688","5","CCP-IMG","CCP-0610040J01Rik-inexdel-EM1-B6N","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","33","17","16","4","6","0","4","2","9","8","0.30303030303030304","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1110059G10Rik","MGI:1913452","1110059G10Rik<tm1a(KOMP)Wtsi>","MGI:4419470","C57BL/6N","MGI:2159965","9","WTSI","MEYZ","HetXHet","91","36","55","10","14","No information available","5","14","21","27","0.26373626373626374","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1500009L16Rik","MGI:1917034","1500009L16Rik<em1(IMPC)Mbp>","MGI:6276858","C57BL/6NCrl","MGI:2683688","10","UC Davis","CR10164","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","150","81","69","20","22","0","27","19","34","28","0.28","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1500011B03Rik","MGI:1913486","1500011B03Rik<tm2(KOMP)Wtsi>","MGI:4419497","C57BL/6N","MGI:2159965","5","WTSI","MCMM","HetXHet","58","27","31","5","8","No information available","5","6","17","17","0.22413793103448276","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1600014C10Rik","MGI:1919494","1600014C10Rik<em1(IMPC)J>","MGI:6194257","C57BL/6NJ","MGI:3056279","7","JAX","JR32525","HetXHet","120","55","65","12","13","No information available","10","26","33","26","0.20833333333333334","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1600029I14Rik","MGI:1917047","1600029I14Rik<tm1b(KOMP)Wtsi>","MGI:5613647","C57BL/6NTac","MGI:2164831","9","HMGU","H4615-EPD0490_2_B01-1","HetXHet","28","13","15","5","3","No information available","1","4","7","8","0.2857142857142857","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700001O22Rik","MGI:1923631","1700001O22Rik<em1(IMPC)J>","MGI:5755393","C57BL/6NJ","MGI:3056279","2","JAX","JR28994","HetXHet","114","62","52","12","11","No information available","19","19","31","22","0.20175438596491227","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700003F12Rik","MGI:1922730","1700003F12Rik<tm1.1(KOMP)Vlcg>","MGI:5548659","C57BL/6NCrl","MGI:2683688","2","TCP","UCD-10243A-E8-2-1","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","153","79","74","0","1","0","29","21","50","52","0.006535947712418301","Homozygous - Subviable","subviable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700008O03Rik","MGI:1916599","1700008O03Rik<tm1a(KOMP)Wtsi>","MGI:4451336","C57BL/6N","MGI:2159965","7","WTSI","MFDF","HetXHet","90","49","41","14","12","No information available","13","10","22","19","0.28888888888888886","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700008P02Rik","MGI:1916597","1700008P02Rik<em1(IMPC)J>","MGI:6382049","C57BL/6NJ","MGI:3056279","3","JAX","JR34689","HetXHet","40","18","22","7","6","No information available","6","7","5","9","0.325","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700010I14Rik","MGI:1914181","1700010I14Rik<tm2b(KOMP)Wtsi>","MGI:5548527","C57BL/6NCrl","MGI:2683688","17","UC Davis","BL3688","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","66","36","30","8","4","0","19","10","9","16","0.18181818181818182","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
