celltype,p,coefs,ctd_level,branch,fdr
Adult_Astrocyte,1e-04,0.00528901833297446,3,Human,0.00187878787878788
Adult_B_cell,1e-04,-0.00162880836869801,3,Human,0.00187878787878788
Adult_B_cell_(Plasmocyte),1e-04,-0.00586065853164317,3,Human,0.00187878787878788
Adult_Dendritic_cell,1e-04,-0.0014824689028627,3,Human,0.00187878787878788
Adult_Endothelial_cell_(endothelial_to_mesenchymal_transition),1e-04,0.0018776423699481,3,Human,0.00187878787878788
Adult_Fetal_epithelial_progenitor,1e-04,-0.0032723746299753,3,Human,0.00187878787878788
Adult_Monocyte,1e-04,-0.0010998792246827,3,Human,0.00187878787878788
Adult_Oligodendrocyte,1e-04,0.00546797121422091,3,Human,0.00187878787878788
Adult_T_cell,1e-04,-0.00310374219485365,3,Human,0.00187878787878788
Fetus_Antigen_presenting_cell_(RPS_high),1e-04,-0.000798573221182224,3,Human,0.00187878787878788
Fetus_Dendritic_cell,1e-04,-0.00103152469332634,3,Human,0.00187878787878788
Fetus_Endothelial_cell,1e-04,0.00124131472681917,3,Human,0.00187878787878788
Fetus_Fetal_acinar_cell,1e-04,0.00152304737118133,3,Human,0.00187878787878788
Fetus_Fetal_neuron,1e-04,0.00351323431726645,3,Human,0.00187878787878788
Fetus_Fetal_Neuron,1e-04,0.00219296133281214,3,Human,0.00187878787878788
Fetus_Primordial_germ_cell,1e-04,-0.00387838585601377,3,Human,0.00187878787878788
Adult_Oligodendrocyte,1e-04,0.00526147426737194,3,Homo-Pan,0.00187878787878788
Fetus_Fetal_Neuron,1e-04,0.00238270904747976,3,Homo-Pan,0.00187878787878788
Adult_Antigen_presenting_cell_(RPS_high),1e-04,-0.00142734875794117,3,Primate,0.00187878787878788
Adult_B_cell_(Plasmocyte),1e-04,-0.00576488638974048,3,Primate,0.00187878787878788
Adult_Dendritic_cell,1e-04,-0.00148988884055147,3,Primate,0.00187878787878788
Adult_M2_Macrophage,1e-04,-0.00133578363735691,3,Primate,0.00187878787878788
Adult_Monocyte,1e-04,-0.00143016130743983,3,Primate,0.00187878787878788
Adult_Neutrophil,1e-04,-0.00163425115026672,3,Primate,0.00187878787878788
Fetus_Fetal_mesenchymal_progenitor,1e-04,0.00132677429860584,3,Primate,0.00187878787878788
Adult_Oligodendrocyte,1e-04,0.00549347414062574,3,Great Ape,0.00187878787878788
Fetus_Fetal_Neuron,1e-04,0.00226656610861129,3,Great Ape,0.00187878787878788
Fetus_Fetal_stromal_cell,1e-04,0.00141976996541371,3,Great Ape,0.00187878787878788
Adult_B_cell_(Plasmocyte),1e-04,-0.00622398237706106,3,Haplorhine,0.00187878787878788
Adult_T_cell,1e-04,-0.0028071361986827,3,Haplorhine,0.00187878787878788
Fetus_Fetal_Neuron,1e-04,0.00203689604377509,3,Haplorhine,0.00187878787878788
Fetus_T_cell,1e-04,-0.00155058331316096,3,Haplorhine,0.00187878787878788
HESC_Proliferating_T_cell,1e-04,0.00284414925822036,3,Haplorhine,0.00187878787878788
Adult_Enterocyte,2e-04,-0.00232301619769129,3,Human,0.00281818181818182
Fetus_Monocyte,2e-04,-0.000919292258682306,3,Human,0.00281818181818182
Fetus_Proliferating_T_cell,2e-04,-0.00220606256365921,3,Human,0.00281818181818182
Fetus_T_cell,2e-04,-0.00140613488923306,3,Human,0.00281818181818182
Adult_Endothelial_cell_(endothelial_to_mesenchymal_transition),2e-04,0.00211898815913562,3,Homo-Pan,0.00281818181818182
Fetus_Endothelial_cell,2e-04,0.00146681885433725,3,Homo-Pan,0.00281818181818182
Adult_B_cell,2e-04,-0.00130839533805173,3,Primate,0.00281818181818182
Adult_B_cell_(Plasmocyte),2e-04,-0.00489397369484834,3,Great Ape,0.00281818181818182
Adult_T_cell,2e-04,-0.00238276820878255,3,Great Ape,0.00281818181818182
