celltype,p,coefs,ctd_level,branch,fdr
Cholinergic and monoaminergic neurons,1e-04,0.00387471327091316,4,Human,0.00114705882352941
Di- and mesencephalon excitatory neurons,1e-04,0.00393093514729134,4,Human,0.00114705882352941
Di- and mesencephalon inhibitory neurons,1e-04,0.00358012578280599,4,Human,0.00114705882352941
Hindbrain neurons,1e-04,0.00460922929243388,4,Human,0.00114705882352941
Telencephalon projecting excitatory neurons,1e-04,0.00318017604261347,4,Human,0.00114705882352941
Di- and mesencephalon excitatory neurons,1e-04,0.00298808764286503,4,Homo-Pan,0.00114705882352941
Di- and mesencephalon excitatory neurons,1e-04,0.00265306553072479,4,Primate,0.00114705882352941
Di- and mesencephalon inhibitory neurons,1e-04,0.0030243205671583,4,Primate,0.00114705882352941
Hindbrain neurons,1e-04,0.00310844973462914,4,Primate,0.00114705882352941
Olfactory inhibitory neurons,1e-04,0.00278143970075369,4,Primate,0.00114705882352941
Perivascular macrophages,1e-04,-0.00653531804028387,4,Primate,0.00114705882352941
Hindbrain neurons,1e-04,0.00423699364322279,4,Great Ape,0.00114705882352941
Di- and mesencephalon excitatory neurons,1e-04,0.00353410033991532,4,Haplorhine,0.00114705882352941
Di- and mesencephalon inhibitory neurons,1e-04,0.00231505674202696,4,Haplorhine,0.00114705882352941
Hindbrain neurons,1e-04,0.00424612902738281,4,Haplorhine,0.00114705882352941
Microglia,1e-04,-0.00674619257008283,4,Haplorhine,0.00114705882352941
Olfactory inhibitory neurons,1e-04,0.00279799228003675,4,Haplorhine,0.00114705882352941
Perivascular macrophages,2e-04,-0.00670966615126057,4,Human,0.00169565217391304
Telencephalon inhibitory interneurons,2e-04,0.00232187667147895,4,Human,0.00169565217391304
Di- and mesencephalon excitatory neurons,2e-04,0.00276110058779537,4,Great Ape,0.00169565217391304
Di- and mesencephalon inhibitory neurons,2e-04,0.00294476595714671,4,Great Ape,0.00169565217391304
Glutamatergic neuroblasts,2e-04,0.00298921279218803,4,Haplorhine,0.00169565217391304
Telencephalon inhibitory interneurons,2e-04,0.00279671900653693,4,Haplorhine,0.00169565217391304
Microglia,3e-04,-0.00570092467334902,4,Primate,0.00216666666666667
Telencephalon inhibitory interneurons,3e-04,0.00241428487126076,4,Primate,0.00216666666666667
Telencephalon projecting excitatory neurons,3e-04,0.00223305756238106,4,Primate,0.00216666666666667
Ependymal cells,3e-04,-0.00655638803462123,4,Haplorhine,0.00216666666666667
Subcommissural organ hypendymal cells,4e-04,-0.00427640682606367,4,Human,0.00278571428571429
Microglia,6e-04,-0.00537170959964204,4,Human,0.00403448275862069
Hindbrain neurons,7e-04,0.00308225260066301,4,Homo-Pan,0.00455
Telencephalon projecting inhibitory neurons,0.001,0.00250758916568043,4,Human,0.00629032258064516
Dentate gyrus granule neurons,0.0012,0.00192348990658429,4,Primate,0.0073125
Telencephalon projecting inhibitory neurons,0.0014,0.00268556259660477,4,Haplorhine,0.00827272727272727
Telencephalon projecting excitatory neurons,0.0016,0.00211321708664872,4,Haplorhine,0.00917647058823529
Oligodendrocyte precursor cells,0.0023,-0.00370336480940972,4,Great Ape,0.0128142857142857
Telencephalon projecting excitatory neurons,0.0027,0.00223165619747493,4,Great Ape,0.014625
Spinal cord inhibitory neurons,0.0033,0.00190941800817578,4,Primate,0.0173918918918919
Ependymal cells,0.0036,-0.00489598434666563,4,Human,0.0184736842105263
Spinal cord excitatory neurons,0.0038,-0.00191124629779858,4,Human,0.019
Perivascular macrophages,0.004,-0.00584494145766187,4,Homo-Pan,0.0195
Glutamatergic neuroblasts,0.0044,0.00197549832187578,4,Human,0.020406976744186
Subcommissural organ hypendymal cells,0.0044,-0.00398131078367311,4,Great Ape,0.020406976744186
Subcommissural organ hypendymal cells,0.0045,-0.00454506221724466,4,Homo-Pan,0.020406976744186
Oligodendrocyte precursor cells,0.0052,-0.00296300176789387,4,Human,0.0230454545454545
Sympathetic cholinergic neurons,0.0056,-0.00188080834518516,4,Great Ape,0.0242666666666667
Perivascular macrophages,0.0061,-0.00452894375501458,4,Haplorhine,0.0258586956521739
Telencephalon projecting excitatory neurons,0.0063,0.00223912986054083,4,Homo-Pan,0.0261382978723404
Peripheral sensory neurofilament neurons,0.0065,0.002150818432127,4,Haplorhine,0.02640625
Peripheral sensory neurofilament neurons,0.0067,0.00192207380381568,4,Human,0.0266632653061225
Sympathetic noradrenergic neurons,0.0069,-0.00205234990024125,4,Great Ape,0.02691
Vascular and leptomeningeal cells,0.0087,-0.00349031282915274,4,Haplorhine,0.0332647058823529
Enteric neurons,0.0095,0.00258588399227128,4,Great Ape,0.035625
Olfactory inhibitory neurons,0.0104,0.00196944385753632,4,Great Ape,0.0382641509433962
Telencephalon inhibitory interneurons,0.0117,0.00169390195570284,4,Great Ape,0.04225
Microglia,0.0126,-0.00442612980594485,4,Great Ape,0.0445714285714286
Oligodendrocyte precursor cells,0.0128,-0.00277499866044565,4,Haplorhine,0.0445714285714286
Vascular smooth muscle cells,0.0134,0.00282040955482353,4,Human,0.0458421052631579
Non-glutamatergic neuroblasts,0.0141,-0.00166313678529604,4,Great Ape,0.0469322033898305
Sympathetic cholinergic neurons,0.0142,-0.00142267071873997,4,Primate,0.0469322033898305
Oligodendrocytes,0.0145,0.00261310818734052,4,Great Ape,0.047125
Dentate gyrus granule neurons,0.0159,0.00154431412806352,4,Haplorhine,0.050827868852459
Sympathetic noradrenergic neurons,0.0169,-0.00159563680115878,4,Human,0.0531532258064516
Subventricular zone radial glia-like cells,0.0177,-0.00167779375767637,4,Great Ape,0.0547857142857143
Peripheral sensory neurofilament neurons,0.0207,0.00193337953051193,4,Great Ape,0.0623409090909091
Cholinergic and monoaminergic neurons,0.0209,0.00236529197535361,4,Homo-Pan,0.0623409090909091
Ependymal cells,0.0211,-0.00456638018452006,4,Great Ape,0.0623409090909091
Perivascular macrophages,0.0224,-0.0041196284058558,4,Great Ape,0.0651940298507463
Spinal cord inhibitory neurons,0.0274,0.00147317399668248,4,Haplorhine,0.0785735294117647
Cholinergic and monoaminergic neurons,0.0294,0.00198127432829669,4,Great Ape,0.0830869565217391
Vascular endothelial cells,0.0317,-0.00235821747964822,4,Haplorhine,0.0883071428571428
Di- and mesencephalon inhibitory neurons,0.0336,0.00153258752886737,4,Homo-Pan,0.0922816901408451
Vascular endothelial cells,0.0367,-0.00217567342957648,4,Primate,0.0985684931506849
Olfactory inhibitory neurons,0.0369,0.00138633579893328,4,Human,0.0985684931506849
Sympathetic noradrenergic neurons,0.0441,-0.00139306280717528,4,Haplorhine,0.116209459459459
Ependymal cells,0.0522,-0.00326268666987503,4,Primate,0.133461038961039
Non-glutamatergic neuroblasts,0.0525,-0.00113084507221547,4,Human,0.133461038961039
Dentate gyrus radial glia-like cells,0.0527,-0.00146241843070045,4,Great Ape,0.133461038961039
Telencephalon projecting inhibitory neurons,0.0578,0.00149884644294792,4,Primate,0.1445
Cerebellum neurons,0.0599,0.00150495642459036,4,Primate,0.147854430379747
Spinal cord excitatory neurons,0.0612,-0.00149783897683309,4,Great Ape,0.149175
Non-glutamatergic neuroblasts,0.0637,-0.00144699512418482,4,Homo-Pan,0.152670731707317
Subcommissural organ hypendymal cells,0.0642,-0.00226737739149855,4,Primate,0.152670731707317
Glutamatergic neuroblasts,0.0786,0.00145617365888602,4,Great Ape,0.184321428571429
Telencephalon projecting inhibitory neurons,0.0794,0.00179932901296646,4,Homo-Pan,0.184321428571429
Glutamatergic neuroblasts,0.0824,0.00121876455258084,4,Primate,0.187603448275862
Subcommissural organ hypendymal cells,0.0836,-0.00230043321716463,4,Haplorhine,0.187603448275862
Vascular and leptomeningeal cells,0.0837,-0.00215515648761813,4,Primate,0.187603448275862
Pericytes,0.091,-0.00154125035567855,4,Primate,0.201647727272727
Telencephalon projecting inhibitory neurons,0.0956,0.00154169921149937,4,Great Ape,0.209460674157303
Oligodendrocytes,0.0993,0.00197867770258138,4,Homo-Pan,0.21515
Enteric neurons,0.1034,0.00133631313785771,4,Primate,0.221571428571429
Peripheral sensory non-peptidergic neurons,0.1058,-0.00144056829500321,4,Human,0.22425
Peripheral sensory peptidergic neurons,0.1074,0.00129701310728926,4,Great Ape,0.225193548387097
Peptidergic neurons,0.1225,-0.00105920616422193,4,Human,0.254122340425532
Dentate gyrus granule neurons,0.1261,0.00090520420319955,4,Human,0.258836842105263
Peripheral sensory peptidergic neurons,0.1276,-0.00135004934936576,4,Homo-Pan,0.2591875
Cerebellum neurons,0.1317,0.00158506783895622,4,Homo-Pan,0.264757731958763
Vascular smooth muscle cells,0.1357,0.00222001577654033,4,Homo-Pan,0.270015306122449
Non-glutamatergic neuroblasts,0.1375,-0.000946763974986114,4,Haplorhine,0.270833333333333
Oligodendrocytes,0.1405,0.00133874791724748,4,Human,0.273975
Peripheral sensory non-peptidergic neurons,0.1468,-0.001700293230231,4,Homo-Pan,0.283425742574257
Spinal cord inhibitory neurons,0.1519,0.000893582622300407,4,Human,0.2870625
Vascular smooth muscle cells,0.1525,0.00172991766813878,4,Haplorhine,0.2870625
Peripheral sensory neurofilament neurons,0.1531,0.00102968440394744,4,Primate,0.2870625
Astrocytes,0.1569,0.00141910997581602,4,Great Ape,0.291385714285714
Olfactory ensheathing cells,0.1776,-0.00120952079796886,4,Human,0.326716981132075
Astrocytes,0.182,0.00148647577507861,4,Homo-Pan,0.331682242990654
Microglia,0.1853,-0.00267512839776075,4,Homo-Pan,0.332573394495413
Enteric neurons,0.1859,0.0012155784135258,4,Haplorhine,0.332573394495413
Peripheral sensory non-peptidergic neurons,0.1984,-0.00115779613703872,4,Primate,0.351709090909091
Schwann cells,0.202,-0.00118054698671383,4,Primate,0.354864864864865
Enteric neurons,0.2089,-0.00140436304567695,4,Homo-Pan,0.363709821428571
Satellite glia,0.2109,-0.000815463335243946,4,Human,0.363942477876106
Dentate gyrus radial glia-like cells,0.2188,-0.000792267949412775,4,Human,0.371
Olfactory inhibitory neurons,0.2202,0.00110306959977595,4,Homo-Pan,0.371
Choroid epithelial cells,0.2215,0.00151142436527306,4,Great Ape,0.371
Dentate gyrus granule neurons,0.2226,0.000948772415324296,4,Homo-Pan,0.371
