celltype,p,coefs,ctd_level,branch
Adult_Antigen_presenting_cell_(RPS_high),0.2452,-0.00251034910565403,3,Homo-Pan
Adult_Astrocyte,0.1223,-0.00922393533059539,3,Homo-Pan
Adult_AT2_cell,0.9076,0.000539395943022908,3,Homo-Pan
Adult_B_cell,0.6476,-0.0015697999040088,3,Homo-Pan
Adult_B_cell_(Plasmocyte),0.63,0.00432145695599316,3,Homo-Pan
Adult_Basal_cell,0.8613,-0.000836937380741751,3,Homo-Pan
Adult_CB_CD34+,0.1301,0.00413205994790606,3,Homo-Pan
Adult_Chondrocyte,0.574,0.00200251437717866,3,Homo-Pan
Adult_Dendritic_cell,0.7787,-0.000997397187870245,3,Homo-Pan
Adult_Endothelial_cell,0.4331,-0.00257716379997186,3,Homo-Pan
Adult_Endothelial_cell_(APC),0.5204,-0.0015432438075988,3,Homo-Pan
Adult_Endothelial_cell_(endothelial_to_mesenchymal_transition),0.8911,0.000488121937492314,3,Homo-Pan
Adult_Enterocyte,0.0245,0.0111715917421068,3,Homo-Pan
Adult_Enterocyte_progenitor,0.8267,0.000739100296318122,3,Homo-Pan
Adult_Epithelial_cell,0.5419,-0.00277108160489432,3,Homo-Pan
Adult_Epithelial_cell_(intermediated),0.652,-0.00132820445502338,3,Homo-Pan
Adult_Erythroid_cell,0.0648,0.00479653099339765,3,Homo-Pan
Adult_Erythroid_progenitor_cell_(RP_high),0.6987,-0.000749612656621013,3,Homo-Pan
Adult_Fasciculata_cell,0.6769,0.0018035242404208,3,Homo-Pan
Adult_Fetal_acinar_cell,0.9517,-0.000322937721806657,3,Homo-Pan
Adult_Fetal_chondrocyte,0.207,0.00355989541851515,3,Homo-Pan
Adult_Fetal_endocrine_cell,0.079,0.00733678921534197,3,Homo-Pan
Adult_Fetal_enterocyte,0.9602,0.000252232882884789,3,Homo-Pan
Adult_Fetal_epithelial_progenitor,0.7036,0.00260926147857104,3,Homo-Pan
Adult_Fetal_fibroblast,0.5268,-0.00177659202857132,3,Homo-Pan
Adult_Fetal_mesenchymal_progenitor,0.7423,-0.00125723390665707,3,Homo-Pan
Adult_Fetal_neuron,0.1619,-0.00696851474316752,3,Homo-Pan
Adult_Fetal_Neuron,0.5789,-0.00242273029426919,3,Homo-Pan
Adult_Fetal_skeletal_muscle_cell,0.2061,-0.00505287967730683,3,Homo-Pan
Adult_Fetal_stromal_cell,0.0334,0.0109814211223944,3,Homo-Pan
Adult_Fibroblast,0.9303,0.000283441914256722,3,Homo-Pan
Adult_Gastric_chief_cell,0.0913,0.0045781804694557,3,Homo-Pan
Adult_Gastric_endocrine_cell,0.1949,0.00481306056706448,3,Homo-Pan
Adult_Goblet_cell,0.5359,0.00227756128375301,3,Homo-Pan
Adult_Hepatocyte_Endodermal_cell,0.2722,0.00520000337391508,3,Homo-Pan
Adult_hESC,0.4404,-0.00211690859096611,3,Homo-Pan
Adult_Intercalated_cell,0.1262,0.00582576388367702,3,Homo-Pan
Adult_Intermediated_cell,0.1425,-0.0034938206301392,3,Homo-Pan
Adult_Kidney_intercalated_cell,0.2269,-0.00374744072458994,3,Homo-Pan
Adult_Loop_of_Henle,0.6276,-0.00147885552764231,3,Homo-Pan
Adult_M2_Macrophage,0.4928,-0.00177893827160327,3,Homo-Pan
Adult_Macrophage,0.8015,-0.000710403250881956,3,Homo-Pan
Adult_Mast_cell,0.2428,-0.0034446672204179,3,Homo-Pan
Adult_Mesothelial_cell,0.6797,-0.00199026061648968,3,Homo-Pan
Adult_Monocyte,0.4047,-0.00211696282682602,3,Homo-Pan
Adult_Myeloid_cell,0.3267,-0.0031536699742626,3,Homo-Pan
Adult_Neutrophil,0.7963,0.000876355588044814,3,Homo-Pan
Adult_Neutrophil_(RPS_high),0.146,-0.00318173991773787,3,Homo-Pan
Adult_Oligodendrocyte,0.1163,-0.010816228895015,3,Homo-Pan
Adult_Pancreas_exocrine_cell,0.0932,0.00526337680912812,3,Homo-Pan
Adult_Primordial_germ_cell,0.9007,-0.000465149367558517,3,Homo-Pan
Adult_Proliferating_T_cell,0.0792,0.00481597451260372,3,Homo-Pan
Adult_Proximal_tubule_progenitor,0.5922,-0.00257693290907334,3,Homo-Pan
Adult_Sinusoidal_endothelial_cell,0.7491,-0.00126886126427684,3,Homo-Pan
Adult_Smooth_muscle_cell,0.9327,0.000784957471881403,3,Homo-Pan
Adult_Stratified_epithelial_cell,0.0234,0.0111236853346306,3,Homo-Pan
Adult_Stromal_cell,0.589,-0.0013544653708297,3,Homo-Pan
Adult_T_cell,0.9797,-7.91201307138753e-05,3,Homo-Pan
Adult_Thyroid_follicular_cell,0.6097,0.00272144588300526,3,Homo-Pan
Adult_Ureteric_bud_cell,0.9576,0.000277911110296861,3,Homo-Pan
Adult_Ventricle_cardiomyocyte,0.6776,-0.00191965905673663,3,Homo-Pan
Fetus_Adrenal_gland_inflammatory_cell,0.6573,-0.00163988044540572,3,Homo-Pan
Fetus_Antigen_presenting_cell_(RPS_high),0.2189,-0.00191806212959266,3,Homo-Pan
Fetus_Astrocyte,0.0272,0.0126321521530816,3,Homo-Pan
Fetus_AT2_cell,0.5908,-0.00251978912170838,3,Homo-Pan
