celltype,p,coefs,ctd_level,branch
Astrocytes,0.1552,0.0010963562723862,4,Human
Cerebellum neurons,0.0373,0.00153995123534358,4,Human
Cholinergic and monoaminergic neurons,1e-04,0.00383682019056501,4,Human
Choroid epithelial cells,0.7136,0.000370201603088854,4,Human
Dentate gyrus granule neurons,0.0154,0.00129760778651231,4,Human
Dentate gyrus radial glia-like cells,7e-04,-0.00191180005342925,4,Human
Di- and mesencephalon excitatory neurons,1e-04,0.00384941490305459,4,Human
Di- and mesencephalon inhibitory neurons,1e-04,0.00399765143642567,4,Human
Enteric glia,0.9539,-4.55434189874182e-05,4,Human
Enteric neurons,0.3349,0.000725158670469514,4,Human
Ependymal cells,0.1288,-0.00241306494647762,4,Human
Glutamatergic neuroblasts,0.004,0.00186069385431243,4,Human
Hindbrain neurons,1e-04,0.00551233766339095,4,Human
Microglia,1e-04,-0.00559085688415438,4,Human
Non-glutamatergic neuroblasts,1e-04,-0.0019626467475184,4,Human
Olfactory ensheathing cells,0.0208,-0.00188537095312789,4,Human
Olfactory inhibitory neurons,0.0058,0.001684634118197,4,Human
Oligodendrocyte precursor cells,0.0016,-0.00304167938976721,4,Human
Oligodendrocytes,0.0801,0.00145065844843945,4,Human
Peptidergic neurons,0.125,0.000806189990641527,4,Human
Pericytes,0.0362,0.00176111372853,4,Human
Peripheral sensory neurofilament neurons,6e-04,0.0024221011381485,4,Human
Peripheral sensory non-peptidergic neurons,0.0011,-0.00263618986039417,4,Human
Peripheral sensory peptidergic neurons,0.4207,-0.000503123223002166,4,Human
Perivascular macrophages,1e-04,-0.00698073416537278,4,Human
Satellite glia,0.0859,-0.00103088088490617,4,Human
Schwann cells,0.0463,-0.00170798470748734,4,Human
Spinal cord excitatory neurons,0.0013,-0.00185990242727351,4,Human
Spinal cord inhibitory neurons,0.9559,3.10699948461317e-05,4,Human
Subcommissural organ hypendymal cells,0.004,-0.00331467699409783,4,Human
Subventricular zone radial glia-like cells,0.0126,-0.00138335914192438,4,Human
Sympathetic cholinergic neurons,1e-04,-0.00219180301547853,4,Human
Sympathetic noradrenergic neurons,1e-04,-0.00354982212156365,4,Human
Telencephalon inhibitory interneurons,7e-04,0.00168479161480437,4,Human
Telencephalon projecting excitatory neurons,1e-04,0.0032577860643735,4,Human
Telencephalon projecting inhibitory neurons,1e-04,0.00304653581786361,4,Human
Vascular and leptomeningeal cells,0.2783,-0.00120479047704477,4,Human
Vascular endothelial cells,0.5015,-0.000625332146265801,4,Human
Vascular smooth muscle cells,3e-04,0.00360849320445768,4,Human
Astrocytes,0.4114,0.000835249658670235,4,Homo-Pan
Cerebellum neurons,6e-04,0.0033811378872298,4,Homo-Pan
Cholinergic and monoaminergic neurons,0.0063,0.0025911544148137,4,Homo-Pan
Choroid epithelial cells,0.3569,0.00119307991027964,4,Homo-Pan
Dentate gyrus granule neurons,0.0284,0.00153139290322806,4,Homo-Pan
Dentate gyrus radial glia-like cells,0.0289,-0.00167235459582199,4,Homo-Pan
Di- and mesencephalon excitatory neurons,1e-04,0.00319603601112007,4,Homo-Pan
Di- and mesencephalon inhibitory neurons,7e-04,0.00222810845821283,4,Homo-Pan
Enteric glia,0.4556,0.000765804221466532,4,Homo-Pan
Enteric neurons,0.3685,-0.000869946935347429,4,Homo-Pan
Ependymal cells,0.5988,0.00109955360299206,4,Homo-Pan
Glutamatergic neuroblasts,0.262,0.000966025847174509,4,Homo-Pan
Hindbrain neurons,1e-04,0.004359243233899,4,Homo-Pan
Microglia,0.0298,-0.00387354042761965,4,Homo-Pan
Non-glutamatergic neuroblasts,1e-04,-0.00265769421961292,4,Homo-Pan
Olfactory ensheathing cells,0.3237,-0.00107347309595518,4,Homo-Pan
Olfactory inhibitory neurons,0.0879,0.00132357261917961,4,Homo-Pan
Oligodendrocyte precursor cells,0.0254,-0.00278928213180634,4,Homo-Pan
Oligodendrocytes,0.2311,0.00130147788465262,4,Homo-Pan
Peptidergic neurons,0.0356,0.00142515098585217,4,Homo-Pan
Pericytes,0.1673,0.00151887089490652,4,Homo-Pan
Peripheral sensory neurofilament neurons,0.4956,0.000597850337771831,4,Homo-Pan
Peripheral sensory non-peptidergic neurons,0.0059,-0.00304720992821199,4,Homo-Pan
Peripheral sensory peptidergic neurons,0.062,-0.00151169854478162,4,Homo-Pan
Perivascular macrophages,4e-04,-0.00648896460083096,4,Homo-Pan
Satellite glia,0.8751,-0.000126127505755846,4,Homo-Pan
Schwann cells,0.1096,-0.0017770471568214,4,Homo-Pan
Spinal cord excitatory neurons,0.4572,-0.000551897721662077,4,Homo-Pan
Spinal cord inhibitory neurons,0.7717,-0.000211351752713626,4,Homo-Pan
Subcommissural organ hypendymal cells,0.0133,-0.00377992471629116,4,Homo-Pan
Subventricular zone radial glia-like cells,0.0611,-0.00133838132979478,4,Homo-Pan
Sympathetic cholinergic neurons,7e-04,-0.00257664355884707,4,Homo-Pan
Sympathetic noradrenergic neurons,0.0129,-0.00194987674115857,4,Homo-Pan
Telencephalon inhibitory interneurons,0.7792,0.000178914915311974,4,Homo-Pan
Telencephalon projecting excitatory neurons,4e-04,0.002800900420285,4,Homo-Pan
Telencephalon projecting inhibitory neurons,0.0092,0.00246658383960579,4,Homo-Pan
