ensembl_transcript_id_version,cds_length,percentage_gene_gc_content,gene
ENST00000000233.10,543,56.14,ARF5
ENST00000000412.8,834,42.37,M6PR
ENST00000000442.11,1272,57.13,ESRRA
ENST00000001008.6,1380,51.53,FKBP4
ENST00000002125.9,1326,38.97,NDUFAF7
ENST00000002165.11,1404,39.72,FUCA2
ENST00000002596.6,924,43.92,HS3ST1
ENST00000002829.8,2358,57.74,SEMA3F
ENST00000003100.13,1530,38.33,CYP51A1
ENST00000003302.8,3234,41.45,USP28
ENST00000003583.12,864,44.09,STPG1
ENST00000004982.6,483,62.52,HSPB6
ENST00000005178.6,1236,36.08,PDK4
ENST00000005257.7,621,39.66,RALA
ENST00000005260.9,1536,46.78,BAIAP2L1
ENST00000005286.8,3075,58.71,TMEM132A
ENST00000005340.10,2211,55.13,DVL2
ENST00000005386.8,1998,36.55,RPAP3
ENST00000005558.8,1356,39.46,IFRD1
ENST00000005995.8,945,55.65,PRSS21
ENST00000006658.11,2409,57.05,SPATA20
ENST00000006724.7,798,47.85,CEACAM7
ENST00000007264.7,939,67.17,RPUSD1
ENST00000007390.3,939,62.41,TSR3
ENST00000007516.8,471,48.72,NDUFAB1
ENST00000007699.10,1095,58.02,YBX2
ENST00000007735.4,1215,48.39,KRT33A
ENST00000007969.12,1032,47.35,LRRC23
ENST00000008527.10,1761,37.55,CRY1
ENST00000008938.5,591,57.65,PGLYRP1
ENST00000010404.6,468,36.94,MGST1
ENST00000011292.8,1260,56.16,CPA1
ENST00000011473.6,780,38.19,SYPL1
ENST00000011619.6,2190,37.08,RANBP9
ENST00000011653.9,1377,48.56,CD4
ENST00000011684.11,2373,55.71,PLEKHG6
ENST00000012049.10,1149,52.54,QPCTL
ENST00000012443.9,1500,50.7,PPP5C
ENST00000013070.11,1278,43.11,UBR7
ENST00000013222.5,792,50.11,INMT
ENST00000014930.9,570,43.51,HEBP1
ENST00000016913.8,804,39.32,MS4A12
ENST00000016946.8,5298,39.34,RGPD5
ENST00000017003.7,2598,56.47,XYLT2
ENST00000019317.8,1968,41.37,RALBP1
ENST00000020926.8,1281,46.29,SYT13
ENST00000020945.4,807,40.53,SNAI2
ENST00000022615.9,852,40.44,VDAC3
ENST00000023064.9,1464,46.63,SLC7A9
ENST00000024061.7,2397,52.64,SLC45A4
ENST00000025008.10,4785,37.73,RB1CC1
ENST00000025301.4,5706,36.45,AKAP11
ENST00000026218.9,2283,64.34,PIGQ
ENST00000029410.10,984,57.85,B4GALT7
ENST00000033079.7,2748,40.05,FAM13B
ENST00000037243.7,354,47.12,GABARAPL2
ENST00000037502.11,1515,45.72,MYOC
ENST00000038176.8,2754,38.41,NSMAF
ENST00000039007.5,1065,39.3,OTC
ENST00000039989.9,3426,37.9,TTC17
ENST00000040584.6,729,51.76,HOXC8
ENST00000040663.8,1110,52.2,MRI1
ENST00000040738.10,9156,38.88,BOD1L1
ENST00000040877.2,4866,40.31,TARBP1
ENST00000042381.9,3660,57.05,RIPOR1
ENST00000043402.8,1422,60.45,RTN4R
ENST00000044462.12,786,42.32,PSMA4
ENST00000045083.6,2841,51.6,RIPOR3
ENST00000046087.7,1056,36.38,ZPBP
ENST00000046794.10,1602,44.62,LCP2
ENST00000052569.10,1365,36.66,GOPC
ENST00000052754.10,1080,34.9,DCN
ENST00000053243.6,555,40.26,TNFRSF17
ENST00000053468.4,606,41.02,MRPS10
ENST00000053867.8,1782,57.73,GRN
ENST00000054666.11,303,42.69,VAMP3
ENST00000054668.5,420,40.81,UTS2
ENST00000055077.8,1065,48.96,RFC2
ENST00000055335.11,2400,47.9,PPP1R3F
ENST00000055682.12,4551,39.49,NEXMIF
ENST00000056217.10,4794,48.06,ARHGEF5
ENST00000056233.4,2085,44.68,NFE2L3
