gene,null_model,alt_model,species,p,branch
A1BG,bsA1,bsA,39,1,Homo-Pan
A1BG,bsA1,bsA,32,1,Primate
A1BG,bsA1,bsA,37,1,Great Ape
A1BG,bsA1,bsA,33,0.015912,Haplorhine
A1CF,bsA1,bsA,41,1,Homo-Pan
A1CF,bsA1,bsA,34,0.605469,Primate
A1CF,bsA1,bsA,39,1,Great Ape
A1CF,bsA1,bsA,35,0.995487,Haplorhine
A2M,bsA1,bsA,41,1,Homo-Pan
A2M,bsA1,bsA,34,0.997477,Primate
A2M,bsA1,bsA,39,0.212109,Great Ape
A2M,bsA1,bsA,35,1,Haplorhine
A2ML1,bsA1,bsA,41,0.998872,Homo-Pan
A2ML1,bsA1,bsA,34,1,Primate
A2ML1,bsA1,bsA,39,1,Great Ape
A2ML1,bsA1,bsA,35,1,Haplorhine
A3GALT2,bsA1,bsA,41,0.969437,Homo-Pan
A3GALT2,bsA1,bsA,34,0.361871,Primate
A3GALT2,bsA1,bsA,39,0.003988,Great Ape
A3GALT2,bsA1,bsA,35,1,Haplorhine
A4GALT,bsA1,bsA,41,1,Homo-Pan
A4GALT,bsA1,bsA,34,1.8e-05,Primate
A4GALT,bsA1,bsA,39,1,Great Ape
A4GALT,bsA1,bsA,35,1,Haplorhine
A4GNT,bsA1,bsA,41,1,Homo-Pan
A4GNT,bsA1,bsA,34,1,Primate
A4GNT,bsA1,bsA,39,1,Great Ape
A4GNT,bsA1,bsA,35,1,Haplorhine
AAAS,bsA1,bsA,41,0.428605,Homo-Pan
AAAS,bsA1,bsA,34,1,Primate
AAAS,bsA1,bsA,39,0.998872,Great Ape
AAAS,bsA1,bsA,35,0.959805,Haplorhine
AACS,bsA1,bsA,41,1,Homo-Pan
AACS,bsA1,bsA,34,0.998404,Primate
AACS,bsA1,bsA,39,1,Great Ape
AACS,bsA1,bsA,35,1,Haplorhine
AADAC,bsA1,bsA,41,1,Homo-Pan
AADAC,bsA1,bsA,34,1,Primate
AADAC,bsA1,bsA,39,1,Great Ape
AADAC,bsA1,bsA,35,1,Haplorhine
AADACL2,bsA1,bsA,41,1,Homo-Pan
AADACL2,bsA1,bsA,34,1,Primate
AADACL2,bsA1,bsA,39,1,Great Ape
AADACL2,bsA1,bsA,35,1,Haplorhine
AADACL3,bsA1,bsA,37,1,Homo-Pan
AADACL3,bsA1,bsA,30,0.718895,Primate
AADACL3,bsA1,bsA,35,1,Great Ape
AADACL3,bsA1,bsA,31,1,Haplorhine
AADACL4,bsA1,bsA,40,1,Homo-Pan
AADACL4,bsA1,bsA,33,0.297727,Primate
AADACL4,bsA1,bsA,38,1,Great Ape
AADACL4,bsA1,bsA,34,1,Haplorhine
AADAT,bsA1,bsA,41,1,Homo-Pan
AADAT,bsA1,bsA,34,0.066173,Primate
AADAT,bsA1,bsA,39,1,Great Ape
AADAT,bsA1,bsA,35,0.21682,Haplorhine
AAGAB,bsA1,bsA,41,0.419818,Homo-Pan
AAGAB,bsA1,bsA,34,1,Primate
AAGAB,bsA1,bsA,39,1,Great Ape
AAGAB,bsA1,bsA,35,1,Haplorhine
