gene,branch,p
A1BG,Homo-Pan,1
A1BG,Primate,1
A1BG,Haplorhine,1
A1BG,Great Ape,1
A1BG,Human,1
A1CF,Haplorhine,1
A1CF,Primate,1
A1CF,Human,1
A2M,Homo-Pan,1
A2M,Haplorhine,1
A2M,Primate,1
A2M,Great Ape,1
A2M,Human,1
A2ML1,Homo-Pan,1
A2ML1,Haplorhine,1
A2ML1,Primate,1
A2ML1,Great Ape,1
A2ML1,Human,1
A3GALT2,Homo-Pan,1
A3GALT2,Haplorhine,1
A3GALT2,Primate,1
A3GALT2,Great Ape,1
A3GALT2,Human,1
A4GALT,Homo-Pan,1
A4GALT,Haplorhine,1
A4GALT,Primate,1
A4GALT,Great Ape,1
A4GALT,Human,1
A4GNT,Haplorhine,1
A4GNT,Primate,1
A4GNT,Great Ape,0.392504173
A4GNT,Human,1
AAAS,Homo-Pan,0.316965286
AAAS,Haplorhine,1
AAAS,Primate,1
AAAS,Great Ape,1
AAAS,Human,1
AACS,Homo-Pan,1
AACS,Haplorhine,1
AACS,Primate,1
AACS,Great Ape,1
AACS,Human,0.227388987
AADAC,Homo-Pan,1
AADAC,Haplorhine,1
AADAC,Primate,0.375526631
AADAC,Human,1
AADACL2,Homo-Pan,1
AADACL2,Haplorhine,1
AADACL2,Primate,1
AADACL2,Human,1
AADACL3,Homo-Pan,1
AADACL3,Primate,1
AADACL3,Haplorhine,1
AADACL3,Great Ape,1
AADACL3,Human,1
AADACL4,Homo-Pan,1
AADACL4,Primate,0.5
AADACL4,Haplorhine,1
AADACL4,Great Ape,1
AADACL4,Human,1
AADAT,Haplorhine,0.173079666
AADAT,Primate,1
AADAT,Human,1
AAGAB,Homo-Pan,0.323359645
AAGAB,Haplorhine,1
AAGAB,Primate,1
AAGAB,Great Ape,0.351032369
AAGAB,Human,1
AAK1,Homo-Pan,1
AAK1,Haplorhine,1
AAK1,Primate,1
AAK1,Great Ape,1
AAK1,Human,1
AAMDC,Human,1
AAMP,Haplorhine,1
AAMP,Primate,1
AAMP,Great Ape,1
AAMP,Human,1
AANAT,Haplorhine,0.451038771
AANAT,Primate,1
AANAT,Human,1
AAR2,Homo-Pan,1
AAR2,Haplorhine,1
AAR2,Primate,1
AAR2,Great Ape,1
AAR2,Human,1
AARD,Homo-Pan,1
AARD,Primate,1
AARD,Haplorhine,1
AARD,Great Ape,1
AARD,Human,1
AARS2,Homo-Pan,0.373207514
AARS2,Haplorhine,0.326889948
AARS2,Primate,1
AARS2,Great Ape,1
AARS2,Human,1
AARSD1,Homo-Pan,0.296052372
AARSD1,Haplorhine,0.463942978
AARSD1,Primate,1
AARSD1,Great Ape,1
AARSD1,Human,1
AASDH,Homo-Pan,0.309283247
AASDH,Haplorhine,1
AASDH,Primate,1
AASDH,Great Ape,1
AASDH,Human,1
AASDHPPT,Haplorhine,1
AASDHPPT,Primate,1
AASDHPPT,Human,1
AASS,Homo-Pan,1
AASS,Haplorhine,1
AASS,Primate,1
AASS,Human,1
AATF,Homo-Pan,0.386048596
AATF,Haplorhine,1
AATF,Primate,1
AATF,Great Ape,1
AATF,Human,1
AATK,Homo-Pan,1
AATK,Haplorhine,1
AATK,Primate,1
AATK,Great Ape,1
AATK,Human,1
ABAT,Haplorhine,1
ABAT,Primate,1
ABAT,Great Ape,1
ABAT,Human,0.434882587
ABCA1,Homo-Pan,1
ABCA1,Haplorhine,1
ABCA1,Primate,1
ABCA1,Great Ape,1
ABCA1,Human,1
ABCA10,Homo-Pan,1
ABCA10,Haplorhine,1
ABCA10,Primate,0.339120185
ABCA10,Great Ape,0.093498806
ABCA10,Human,1
ABCA12,Homo-Pan,1
ABCA12,Haplorhine,1
ABCA12,Primate,1
ABCA12,Great Ape,1
ABCA12,Human,1
ABCA13,Homo-Pan,1
ABCA13,Haplorhine,1
ABCA13,Primate,1
ABCA13,Great Ape,1
ABCA13,Human,1
ABCA2,Homo-Pan,1
ABCA2,Haplorhine,1
ABCA2,Primate,1
ABCA2,Great Ape,1
ABCA2,Human,1
ABCA3,Homo-Pan,1
ABCA3,Haplorhine,1
ABCA3,Primate,1
ABCA3,Great Ape,1
ABCA3,Human,1
ABCA4,Homo-Pan,1
ABCA4,Haplorhine,1
ABCA4,Primate,1
ABCA4,Great Ape,1
ABCA4,Human,1
ABCA5,Homo-Pan,1
ABCA5,Haplorhine,1
ABCA5,Primate,1
ABCA5,Human,1
ABCA6,Homo-Pan,1
ABCA6,Haplorhine,1
ABCA6,Primate,1
ABCA6,Great Ape,1
ABCA6,Human,1
ABCA8,Homo-Pan,1
ABCA8,Haplorhine,1
ABCA8,Primate,1
ABCA8,Great Ape,1
ABCA8,Human,1
ABCA9,Homo-Pan,1
ABCA9,Haplorhine,1
ABCA9,Primate,1
ABCA9,Great Ape,1
ABCA9,Human,1
ABCB1,Homo-Pan,1
ABCB1,Haplorhine,1
ABCB1,Primate,1
ABCB1,Great Ape,0.482535313
ABCB1,Human,1
ABCB10,Homo-Pan,1
ABCB10,Haplorhine,0.471568565
ABCB10,Primate,1
ABCB10,Great Ape,1
ABCB10,Human,1
ABCB11,Homo-Pan,1
ABCB11,Haplorhine,1
ABCB11,Primate,1
ABCB11,Great Ape,1
ABCB11,Human,1
ABCB4,Homo-Pan,1
ABCB4,Haplorhine,1
ABCB4,Primate,1
ABCB4,Great Ape,1
ABCB4,Human,1
ABCB5,Homo-Pan,1
ABCB5,Haplorhine,1
ABCB5,Primate,1
ABCB5,Great Ape,1
ABCB5,Human,1
ABCB6,Homo-Pan,1
ABCB6,Haplorhine,1
ABCB6,Primate,1
ABCB6,Great Ape,0.259816683
ABCB6,Human,1
ABCB7,Haplorhine,1
ABCB7,Primate,1
ABCB7,Human,1
ABCB8,Homo-Pan,1
ABCB8,Haplorhine,0.274268157
ABCB8,Primate,1
ABCB8,Great Ape,1
ABCB8,Human,1
ABCB9,Homo-Pan,1
ABCB9,Haplorhine,1
ABCB9,Primate,1
ABCB9,Great Ape,1
ABCB9,Human,1
ABCC1,Homo-Pan,1
ABCC1,Haplorhine,1
ABCC1,Primate,1
ABCC1,Great Ape,1
ABCC1,Human,1
ABCC10,Homo-Pan,1
ABCC10,Haplorhine,1
ABCC10,Primate,1
ABCC10,Great Ape,1
ABCC10,Human,1
ABCC11,Homo-Pan,1
ABCC11,Haplorhine,0.331078905
ABCC11,Primate,1
ABCC11,Great Ape,1
ABCC11,Human,1
ABCC12,Homo-Pan,1
ABCC12,Haplorhine,1
ABCC12,Primate,1
ABCC12,Great Ape,1
ABCC12,Human,1
ABCC2,Homo-Pan,1
ABCC2,Haplorhine,0.476724538
ABCC2,Primate,1
ABCC2,Great Ape,1
ABCC2,Human,1
ABCC3,Homo-Pan,1
ABCC3,Haplorhine,1
ABCC3,Primate,1
ABCC3,Great Ape,1
ABCC3,Human,1
ABCC4,Homo-Pan,1
ABCC4,Haplorhine,1
ABCC4,Primate,0.136651738
ABCC4,Great Ape,1
ABCC4,Human,1
ABCC5,Homo-Pan,1
ABCC5,Haplorhine,1
ABCC5,Primate,1
ABCC5,Great Ape,1
ABCC5,Human,1
ABCC6,Homo-Pan,1
ABCC6,Haplorhine,1
ABCC6,Primate,1
ABCC6,Great Ape,1
ABCC6,Human,1
ABCC8,Homo-Pan,1
ABCC8,Haplorhine,1
ABCC8,Primate,1
ABCC8,Great Ape,1
ABCC8,Human,1
ABCD1,Homo-Pan,1
ABCD1,Haplorhine,1
ABCD1,Primate,1
ABCD1,Great Ape,1
ABCD1,Human,1
ABCD2,Haplorhine,1
ABCD2,Primate,1
ABCD2,Human,1
ABCD3,Homo-Pan,1
ABCD3,Haplorhine,1
ABCD3,Primate,1
ABCD3,Great Ape,1
ABCD3,Human,1
ABCD4,Homo-Pan,1
ABCD4,Haplorhine,1
ABCD4,Primate,1
ABCD4,Great Ape,1
ABCD4,Human,1
ABCE1,Haplorhine,1
ABCE1,Primate,1
ABCE1,Human,1
ABCF1,Haplorhine,1
ABCF1,Primate,1
ABCF1,Great Ape,1
