tx_name,seqnames,start,end,width,strand,tx_id,exon_rank,phast,gene_symbol,transcript
ENST00000000233.10,chr7,127588411,127591700,3290,+,96264,4,0.475440729483283,ARF5,ENST00000000233
ENST00000000412.8,chr12,8940361,8949645,9285,-,154640,6,0.260926225094238,M6PR,ENST00000000412
ENST00000000442.11,chr11,64305524,64316743,11220,+,135565,2,0.276372549019608,ESRRA,ENST00000000442
ENST00000001008.6,chr12,2794970,2805423,10454,+,147023,4,0.204572412473694,FKBP4,ENST00000001008
ENST00000002125.9,chr2,37231658,37249160,17503,+,23788,8,0.164508941324345,NDUFAF7,ENST00000002125
ENST00000002165.11,chr6,143494812,143511720,16909,-,90734,6,0.114507067242297,FUCA2,ENST00000002165
ENST00000002596.6,chr4,11393150,11428894,35745,-,63262,2,0.0825793817317105,HS3ST1,ENST00000002596
ENST00000002829.8,chr3,50155324,50189075,33752,+,43910,19,0.267385636406731,SEMA3F,ENST00000002829
ENST00000003100.13,chr7,92112153,92134477,22325,-,100713,3,0.185608062709966,CYP51A1,ENST00000003100
ENST00000003302.8,chr11,113797874,113875570,77697,-,145766,10,0.144037736334737,USP28,ENST00000003302
ENST00000003583.12,chr1,24357005,24413725,56721,-,13300,2,0.15560198162938,STPG1,ENST00000003583
ENST00000004982.6,chr19,35754566,35757029,2464,-,225512,2,0.221915584415584,HSPB6,ENST00000004982
ENST00000005178.6,chr7,95583499,95596516,13018,-,101020,8,0.21901213704102,PDK4,ENST00000005178
ENST00000005260.9,chr7,98291650,98401090,109441,-,101127,7,0.0910390073190123,BAIAP2L1,ENST00000005260
ENST00000005286.8,chr11,60924481,60937159,12679,+,135029,8,0.242637431974131,TMEM132A,ENST00000005286
ENST00000005340.10,chr17,7225342,7234517,9176,-,203142,13,0.286061464690497,DVL2,ENST00000005340
ENST00000005386.8,chr12,47661249,47706030,44782,-,155977,11,0.18678933500067,RPAP3,ENST00000005386
ENST00000005558.8,chr7,112423144,112475527,52384,+,95806,9,0.169670128283446,IFRD1,ENST00000005558
ENST00000005995.8,chr16,2817237,2821719,4483,+,184401,1,0.0393040374749052,PRSS21,ENST00000005995
ENST00000006658.11,chr17,50547174,50555852,8679,+,199616,17,0.26639013711257,SPATA20,ENST00000006658
ENST00000006724.7,chr19,41673307,41688367,15061,-,226408,2,0.0376203439346657,CEACAM7,ENST00000006724
ENST00000007264.7,chr16,784974,788381,3408,-,190018,2,0.144072769953052,RPUSD1,ENST00000007264
ENST00000007390.3,chr16,1349240,1351878,2639,-,190091,4,0.180143993937097,TSR3,ENST00000007390
ENST00000007516.8,chr16,23581014,23596316,15303,-,191767,3,0.104783375808665,NDUFAB1,ENST00000007516
ENST00000007699.10,chr17,7288263,7294639,6377,-,203202,1,0.41502273796456,YBX2,ENST00000007699
ENST00000007735.4,chr17,41346092,41350828,4737,-,205680,1,0.23715431707832,KRT33A,ENST00000007735
ENST00000007969.12,chr12,6904733,6914229,9497,+,147417,6,0.161787933031484,LRRC23,ENST00000007969
ENST00000008527.10,chr12,106991364,107093549,102186,-,158989,8,0.194858395474918,CRY1,ENST00000008527
ENST00000008938.5,chr19,46019153,46023053,3901,-,227054,3,0.060907459625737,PGLYRP1,ENST00000008938
ENST00000010404.6,chr12,16347142,16364409,17268,+,148073,2,0.0754748668056521,MGST1,ENST00000010404
ENST00000011292.8,chr7,130380494,130388108,7615,+,96481,4,0.141864740643467,CPA1,ENST00000011292
ENST00000011473.6,chr7,106090505,106112576,22072,-,101920,1,0.211584813338165,SYPL1,ENST00000011473
