gene,null_model,alt_model,species,p,omega,branch
A1BG,b_neut,b_free,12,0.011565,0.262,Human
A1BG,b_neut,b_free,39,0.022568,0.136,Homo-Pan
A1BG,b_neut,b_free,32,0.002574,0.148,Primate
A1BG,b_neut,b_free,37,0.559662,3.446,Great Ape
A1BG,b_neut,b_free,33,0.487594,999,Haplorhine
A1CF,b_neut,b_free,12,0.159787,0.19,Human
A1CF,b_neut,b_free,41,0.994829,0.347,Homo-Pan
A1CF,b_neut,b_free,34,0.580682,999,Primate
A1CF,b_neut,b_free,39,0.994829,0.557,Great Ape
A1CF,b_neut,b_free,35,0.007052,0,Haplorhine
A2M,b_neut,b_free,12,0.044221,0.338,Human
A2M,b_neut,b_free,41,0.558661,0.417,Homo-Pan
A2M,b_neut,b_free,34,0.189327,0.524,Primate
A2M,b_neut,b_free,39,0.844164,0.881,Great Ape
A2M,b_neut,b_free,35,0.174005,0.489,Haplorhine
A2ML1,b_neut,b_free,12,0.038183,0.351,Human
A2ML1,b_neut,b_free,41,0.050255,0.194,Homo-Pan
A2ML1,b_neut,b_free,34,0.030357,0.177,Primate
A2ML1,b_neut,b_free,39,0.662715,0.479,Great Ape
A2ML1,b_neut,b_free,35,0.168264,0.371,Haplorhine
A3GALT2,b_neut,b_free,12,0.767008,0.701,Human
A3GALT2,b_neut,b_free,41,0.598211,0.479,Homo-Pan
A3GALT2,b_neut,b_free,34,0.25201,47.706,Primate
A3GALT2,b_neut,b_free,39,0.84912,1.244,Great Ape
A3GALT2,b_neut,b_free,35,0.783466,2.551,Haplorhine
A4GALT,b_neut,b_free,12,0.00075,0,Human
A4GALT,b_neut,b_free,41,0.346957,0.244,Homo-Pan
A4GALT,b_neut,b_free,34,0.172688,0.198,Primate
A4GALT,b_neut,b_free,39,0.191194,0.14,Great Ape
A4GALT,b_neut,b_free,35,0.162941,0.2,Haplorhine
A4GNT,b_neut,b_free,12,0.024706,0.192,Human
A4GNT,b_neut,b_free,41,0.997015,0.54,Homo-Pan
A4GNT,b_neut,b_free,34,0.027987,0.061,Primate
A4GNT,b_neut,b_free,39,0.679625,0.436,Great Ape
A4GNT,b_neut,b_free,35,0.323003,0.338,Haplorhine
AAAS,b_neut,b_free,12,0.10592,0.162,Human
AAAS,b_neut,b_free,41,0.420756,999,Homo-Pan
AAAS,b_neut,b_free,34,8.3e-05,0,Primate
AAAS,b_neut,b_free,39,0.161456,0,Great Ape
AAAS,b_neut,b_free,35,0.426971,0.342,Haplorhine
AACS,b_neut,b_free,12,0.373771,999,Human
AACS,b_neut,b_free,41,0.028006,0.073,Homo-Pan
AACS,b_neut,b_free,34,3e-06,0.006,Primate
AACS,b_neut,b_free,39,0.116485,0.062,Great Ape
AACS,b_neut,b_free,35,0.251922,0.153,Haplorhine
AADAC,b_neut,b_free,12,0.1078,0.232,Human
AADAC,b_neut,b_free,41,0.469787,0.349,Homo-Pan
AADAC,b_neut,b_free,34,0.592526,0.604,Primate
AADAC,b_neut,b_free,39,0.981633,111.641,Great Ape
AADAC,b_neut,b_free,35,0.005951,0.204,Haplorhine
AADACL2,b_neut,b_free,12,0.142631,0.161,Human
AADACL2,b_neut,b_free,41,0.094453,0,Homo-Pan
AADACL2,b_neut,b_free,34,0.67074,0.318,Primate
AADACL2,b_neut,b_free,39,1,1.608,Great Ape
AADACL2,b_neut,b_free,35,0.612959,0.556,Haplorhine
AADACL3,b_neut,b_free,10,0.491168,0.584,Human
AADACL3,b_neut,b_free,37,0.071336,999,Homo-Pan
AADACL3,b_neut,b_free,30,0.829143,4.404,Primate
AADACL3,b_neut,b_free,35,0.536419,0.621,Great Ape
AADACL3,b_neut,b_free,31,0.174395,0.332,Haplorhine
AADACL4,b_neut,b_free,12,0.688208,1.544,Human
AADACL4,b_neut,b_free,40,0.037538,0,Homo-Pan
AADACL4,b_neut,b_free,33,0.204709,999,Primate
AADACL4,b_neut,b_free,38,0.515568,999,Great Ape
AADACL4,b_neut,b_free,34,0.155013,0.365,Haplorhine
AADAT,b_neut,b_free,12,0.034918,0.109,Human
AADAT,b_neut,b_free,41,0.985463,0,Homo-Pan
AADAT,b_neut,b_free,34,0.268239,999,Primate
AADAT,b_neut,b_free,39,1,8.67,Great Ape
AADAT,b_neut,b_free,35,0.168045,5.434,Haplorhine
